name,genre,country,chanel,start,end
鉴宝,脱口秀,日本,CCTV,2003,2015
交换空间,真人秀,原创,CCTV,2005,2017
姐姐好饿,脱口秀,原创,爱奇艺,2016,2017
今天吃什么,真人秀,原创,东方卫视,2015,2016
今晚80后脱口秀,脱口秀,原创,东方卫视,2012,2017
今夜百乐门,真人秀,原创,东方卫视,2016,2016
金星秀,脱口秀,原创,东方卫视,2015,2017
惊喜惊喜,真人秀,英国,山东卫视,2011,2011
开讲啦,脱口秀,原创,CCTV,2012,2017
开门大吉,真人秀,爱尔兰,CCTV,2013,2017
开心辞典,选秀,英国,CCTV,2000,2013
看见你的声音,选秀,韩国,江苏卫视,2016,2016
看你往哪跑,真人秀,原创,腾讯视频,2016,2016
客从何处来,真人秀,原创,CCTV,2014,2015
坑王驾到,脱口秀,原创,爱奇艺,2016,2017
跨界歌王,真人秀,原创,北京卫视,2017,2016
跨界喜剧王,真人秀,原创,北京卫视,2016,2017
快乐大本营,真人秀,原创,湖南卫视,1997,2017
快乐男声,选秀,原创,湖南卫视,2007,2013
来吧冠军,真人秀,原创,浙江卫视,2016,2016
来吧灰姑娘,选秀,原创,CCTV,2014,2015
朗读者,脱口秀,原创,CCTV,2017,2017
老爸拼吧,选秀,美国,厦门卫视,2013,2017
老公看你的,选秀,德国,江西卫视,2010,2012
老梁故事汇,脱口秀,原创,山西卫视,2012,2017
老梁看电影,脱口秀,原创,辽宁卫视,2012,2017
了不起的孩子,真人秀,原创,爱奇艺,2016,2017
了不起的挑战,真人秀,韩国,CCTV,2015,2016
厉害了我的歌,选秀,原创,北京卫视,2017,2017
恋家有方,真人秀,原创,湖南卫视,2015,2015
两天一夜,真人秀,原创,四川卫视,2013,2014
两天一夜 ,真人秀,韩国,东方卫视,2013,2015
龙斌大话电影,脱口秀,原创,爱奇艺,2013,2017
鲁豫的礼物,真人秀,原创,北京卫视,2014,2016
罗辑思维,脱口秀,原创,优酷土豆,2012,2017
绿茵继承者,选秀,原创,浙江卫视,2016,2016
妈妈的牵挂,真人秀,原创,湖南卫视,2016,2016
妈妈咪呀 ,选秀,韩国,东方卫视,2012,2016
妈妈是超人,选秀,原创,芒果TV,2016,2017
麦王争霸,选秀,原创,珠江频道,2011,2014
美女与极品,真人秀,原创,优酷土豆,2016,2017
蒙面歌王,真人秀,韩国,江苏卫视,2015,2016
梦立方,选秀,英国,东方卫视,2012,2013
